dataset,imageID,ROInum,minJ,maxSCDr,maxPCF,Density,ROI_areaInclude,ROI_areaExclude,ROI_tumourArea,ROI_stromaArea,ROI_areaNecrosis,ROI_propExclude,ROI_propNecrosis,ROI_propAnnotatedOut
HeadAndNeck,38648-07,31,0.248509628,0.110305153,1.432214758,449.3333333,2.2508,0,0.24371,2.0071,0.023885,0,0.010611782,0.010611782
HeadAndNeck,38648-07,32,0.007475737,0.766133067,4.979414497,120.8888889,1.0482,1.2027,0.50843,0.53973,0,0.534319605,0,0.534319605
HeadAndNeck,38648-07,33,0.019091939,0.346673337,2.365313951,284,2.0125,0.23837,0.45855,1.5539,0.18724,0.105901274,0.083185613,0.189086886
HeadAndNeck,38648-07,34,0.029536613,0.252876438,2.286376464,410.6666667,2.2508,0,0.30607,1.9448,0.059051,0,0.026235561,0.026235561
HeadAndNeck,38648-07,35,0.041453292,0.188344172,1.796633053,396.8888889,1.979,0.27185,0.36188,1.6171,0,0.120776596,0,0.120776596
HeadAndNeck,38648-07,36,0.059415962,0.111055528,1.324270561,348,2.2508,0,0.43091,1.8199,0.0022116,0,0.000982584,0.000982584
HeadAndNeck,38648-07,37,0.060159964,0.132816408,1.571601609,463.5555556,2.2508,0,0.66462,1.5862,0.030464,0,0.013534743,0.013534743
HeadAndNeck,38648-07,39,0.004655292,0.473486743,2.713218264,286.2222222,1.3346,0.91628,0.47542,0.85915,0.10707,0.407076343,0.047568062,0.454644406
HeadAndNeck,38648-07,40,0.014818289,0.3991996,1.817053758,256.4444444,2.2508,0,1.4399,0.81091,0.0058547,0,0.002601164,0.002601164
HeadAndNeck,38648-07,41,0.281273487,0.109554777,1.677947735,457.3333333,2.2508,0,0.92531,1.3255,0.12572,0,0.055855696,0.055855696
HeadAndNeck,38648-07,42,0.019422218,0.211605803,1.607789119,446.6666667,2.0291,0.22171,0.96985,1.0593,0.081193,0.098502317,0.036072792,0.134575109
HeadAndNeck,38648-07,43,0.00651828,0.471235618,2.64981148,317.7777778,1.7369,0.51398,0.70022,1.0366,0.50603,0.228346247,0.224814295,0.453160542
HeadAndNeck,38648-07,45,0.269245686,0.119309655,1.552453439,236.4444444,2.2508,0,1.6368,0.61409,0.072772,0,0.032331615,0.032331615
HeadAndNeck,38648-07,46,0.046717542,0.156078039,1.57207955,356.4444444,2.2508,0,1.1096,1.1412,0.0044738,0,0.001987649,0.001987649
HeadAndNeck,38648-07,47,0.015252448,0.309904952,1.931754645,394.6666667,2.0182,0.23265,0.37055,1.6476,0.091174,0.103360953,0.040506475,0.143867428
HeadAndNeck,38648-07,49,0.020273387,0.897448724,5.666160884,43.11111111,1.2551,0.9957,0.92304,0.33211,0.0052012,0.442376044,0.002310823,0.444686867
HeadAndNeck,38648-07,50,0.058038822,0.144822411,1.366034219,348.8888889,2.1822,0.06867,1.1069,1.0753,0.017795,0.030508203,0.007905832,0.038414035
HeadAndNeck,38648-07,51,0.12144931,0.120810405,1.482494356,407.1111111,2.2508,0,0.064006,2.1868,0.0090963,0,0.004041363,0.004041363
